Unnamed: 0,Unnamed: 1,Unnamed: 2
,Casos de Uso Prácticos,
,──────────────────────────────────────────────────,
,,
,Caso 1: Blog Article,"Crear un artículo de blog de 2000 palabras sobre ""Tendencias de Marketing Digital 2025"" con secciones claras, citas y llamados a la acción"
,,
,Caso 2: Social Media,"Generar 10 publicaciones para Instagram sobre un nuevo producto, optimizadas para engagement y con hashtags relevantes"
,,
,Caso 3: Email Marketing,Crear una secuencia de 5 emails de bienvenida para nuevos suscriptores con CTAs estratégicos
,,
,Caso 4: Landing Page,Desarrollar copy persuasivo para landing page de producto SaaS con enfoque en conversión
,,
,Caso 5: Product Description,"Escribir descripciones detalladas de productos e-commerce con características, beneficios y puntos de venta"
,,
,Caso 6: SEO Content,"Crear contenido optimizado para SEO sobre ""Cómo mejorar el SEO técnico"" con keywords naturales"
,,
,Caso 7: Technical Doc,"Documentar API REST con ejemplos de código, endpoints y casos de uso"
,,
,Caso 8: Content Strategy,Desarrollar estrategia de contenido trimestral basada en brand guidelines y objetivos de negocio
