ID,Categoria,Titulo,Subtitulo,CTA,Tipo_Hook,Urgencia,Emocion,Audiencia,ROI,Conversion,Neuromarketing,Elementos_Visuales,Palabras_Poder,Complejidad,Segmentacion
1,Urgencia,"⏰ SOLO 24H: El secreto que transformó 10,000+ emprendedores de $0→$100K","Por primera vez en 3 años, revelado públicamente - Última oportunidad","RESERVAR MI LUGAR VIP - Solo 47 cupos restantes",Urgencia,Alta,Alta,Emprendedores,500%,3.5%,Escasez+Autoridad+Anclaje,"⏰🔥💰","SOLO,ÚLTIMA,OPORTUNIDAD,VIP",Media,Principiantes
2,Escasez,"Solo 3 personas más pueden unirse a este webinar PRIVADO","El método prohibido que usan los top 1% - Por primera vez revelado","SOLICITAR INVITACIÓN PRIVADA - Verificación requerida",Escasez,Alta,Alta,Avanzados,600%,4.2%,Exclusividad+Curiosidad+Autoridad,"🎯💎","PRIVADO,PROHIBIDO,TOP 1%,EXCLUSIVO",Alta,Avanzados
3,Oferta,"🔥 OFERTA SE CIERRA EN 6H: Acceso GRATIS al webinar de $5,000","El método que generó $2.3M en ventas - Normalmente $5,000, hoy GRATIS","OBTENER ACCESO GRATIS AHORA - Solo para los primeros 25",Oferta,Alta,Alta,General,400%,2.8%,Oferta+Valor+Escasez+Countdown,"🔥⚡💰","OFERTA,CIERRA,GRATIS,PRIMEROS",Media,General
4,Urgencia Emocional,"¿Cuánto tiempo más vas a esperar para cambiar tu vida?","Cada día que esperas es un día menos de libertad financiera","CAMBIAR MI VIDA HOY - Sin más esperas",Urgencia,Media,Alta,Empleados,350%,3.1%,Pregunta+Dolor+Urgencia+Pérdida,"⏰💸","TIEMPO,ESPERAR,CAMBIAR,VIDA",Baja,Empleados
5,Resultado,"De $0 a $10,000 en 30 días: El método paso a paso (sin experiencia previa)","La fórmula exacta que usaron 1,247 emprendedores para generar sus primeros $10K","GENERAR MIS PRIMEROS $10,000 - Método garantizado",Beneficio,Baja,Media,Principiantes,450%,4.5%,Resultado+Testimonial+Garantía+Proceso,"💰📈","EXACTA,1,247,EMPRENDEDORES,GARANTIZADO",Media,Principiantes
6,Transformacion,"De empleado frustrado a emprendedor exitoso en 90 días","La guía completa para hacer la transición sin arriesgar tu estabilidad","INICIAR MI TRANSFORMACIÓN - Guía paso a paso",Transformacion,Baja,Alta,Empleados,400%,3.8%,Identidad+Seguridad+Proceso+Transformación,"🔄👔","EMPLEADO,EMPRENDEDOR,TRANSICIÓN,ESTABILIDAD",Media,Empleados
7,Problema,"¿Cansado de trabajar 12 horas y ganar $3,000? Aquí está la solución definitiva","El método que te permite trabajar 4 horas y ganar $10,000+ al mes","APLICAR LA SOLUCIÓN - Método probado",Problema,Media,Alta,Empleados,380%,3.2%,Problema+Solución+Beneficio,"⚡💰","CANSADO,12 HORAS,$3,000,SOLUCIÓN",Media,Empleados
8,Secreto,"El secreto que los millonarios no quieren que sepas (revelado por primera vez)","Por qué el 1% más rico mantiene sus métodos en secreto - Hasta ahora","REVELAR EL SECRETO - Acceso exclusivo",Curiosidad,Media,Alta,Avanzados,550%,3.9%,Curiosidad+Exclusividad+Contraste+Revelación,"💎👑","SECRETO,MILLONARIOS,1% RICO,EXCLUSIVO",Alta,Avanzados
9,Autoridad,"El CEO que construyó un imperio de $100M te enseña su método","20 años de experiencia condensados en 60 minutos - Lecciones de un maestro","APRENDER DEL MAESTRO - Experiencia invaluable",Autoridad,Baja,Alta,Emprendedores,500%,4.1%,Autoridad+Experiencia+Valor+Tiempo,"👑💰","CEO,$100M,20 AÑOS,MAESTRO",Alta,Emprendedores
10,Historia,"De la quiebra a los $10M: Mi historia real (y cómo puedes replicarla)","Los errores que cometí, las lecciones que aprendí, y el método que me salvó","ESCUCHAR MI HISTORIA - Lecciones de vida",Storytelling,Baja,Alta,General,420%,3.6%,Storytelling+Vulnerabilidad+Aplicabilidad+Método,"📖💸","QUIEBRA,$10M,HISTORIA REAL,REPLICAR",Media,General
