Nombre,Usuario Instagram,Link Instagram,Usuario Twitter,Link Twitter,Usuario TikTok,Link TikTok,Usuario YouTube,Link YouTube,Seguidores,Engagement Rate,Especialidad,Mejor Canal Contacto,Verificado,Fecha Verificación,Notas
Ejemplo 1 - TechieJuan,@techiejuan,https://www.instagram.com/techiejuan/,,,,,,,~5K,~8%,Gadgets/Reviews/Dispositivos móviles,Instagram DM,⚠️ VERIFICAR MANUALMENTE,2024-01-XX,Buscar en Instagram con hashtag #TechReview
Ejemplo 2 - CodeWithAna,@codewithana,https://www.instagram.com/codewithana/,,,,,,,~3K,~7%,Programming/Web Development/Tutoriales,Instagram DM,⚠️ VERIFICAR MANUALMENTE,2024-01-XX,Buscar en Instagram con hashtag #Coding
Ejemplo 3 - GadgetGuru,@gadgetguru,https://www.instagram.com/gadgetguru/,,,,,,,~7K,~6%,Tech Trends/Gadgets/Análisis,Instagram DM,⚠️ VERIFICAR MANUALMENTE,2024-01-XX,Buscar en Instagram con hashtag #Gadgets
Ejemplo 4 - AI Insights,@ai_insights,https://www.instagram.com/ai_insights/,,,,,,,~4K,~9%,IA/Machine Learning/Análisis,Instagram DM,⚠️ VERIFICAR MANUALMENTE,2024-01-XX,Buscar en LinkedIn o Twitter
Ejemplo 5 - CyberSecMaria,@cybersecmaria,https://www.instagram.com/cybersecmaria/,,,,,,,~6K,~7%,Ciberseguridad/InfoSec/Protección de datos,Instagram DM,⚠️ VERIFICAR MANUALMENTE,2024-01-XX,Buscar en Twitter con hashtag #CyberSecurity
Ejemplo 6 - DevOpsDave,@devopsdave,https://www.instagram.com/devopsdave/,,,,,,,~8K,~6%,DevOps/Metodologías ágiles,Instagram DM,⚠️ VERIFICAR MANUALMENTE,2024-01-XX,Buscar en LinkedIn
Ejemplo 7 - VR Victor,@vr_victor,https://www.instagram.com/vr_victor/,,,,,,,~2K,~10%,Realidad Virtual/Aumentada,Instagram DM,⚠️ VERIFICAR MANUALMENTE,2024-01-XX,Buscar en Instagram con hashtag #VR
Ejemplo 8 - BlockchainBella,@blockchainbella,https://www.instagram.com/blockchainbella/,,,,,,,~9K,~6%,Blockchain/Web3/Crypto,Instagram DM,⚠️ VERIFICAR MANUALMENTE,2024-01-XX,Buscar en Twitter con hashtag #Blockchain
Ejemplo 9 - IoT Isabel,@iot_isabel,https://www.instagram.com/iot_isabel/,,,,,,,~3K,~8%,Internet of Things/IoT,Instagram DM,⚠️ VERIFICAR MANUALMENTE,2024-01-XX,Buscar en LinkedIn
Ejemplo 10 - TechSustain,@techsustain,https://www.instagram.com/techsustain/,,,,,,,~4K,~7%,Tech Sostenibilidad/Green Tech,Instagram DM,⚠️ VERIFICAR MANUALMENTE,2024-01-XX,Buscar en Instagram con hashtag #GreenTech




